letter	digit	+	-	*	/	<	>	=	!	;	","	""""	.	(	)	[	]	{	}	blank	new_line	EOF	bad_char
1	2	31	32	33	5	9	11	13	15	34	35	17	36	37	38	39	40	41	42	0	0	0	43
1	1	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	43
43	2	20	20	20	20	20	20	20	20	20	20	20	3	20	20	20	20	20	20	20	20	20	43
43	4	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43
43	4	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	43
21	21	21	21	6	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	43	6
6	6	6	6	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	43	6
22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22
23	23	23	23	23	23	23	23	10	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24
25	25	25	25	25	25	25	25	12	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
27	27	27	27	27	27	27	27	14	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27
28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28
43	43	43	43	43	43	43	43	16	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43
29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
17	17	17	17	17	17	17	17	17	17	17	17	18	17	17	17	17	17	17	17	17	43	43	17
30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
